2018-01-29 15:47:11
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      8.00E-07
Batch size:                         64
Memory size(replay):                1500000
Pretrained:                         True
Pretrained subnet 1:                None
Pretrained subnet 2:                None
Started training after k frames:    750000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
--------+-----------+----------------------+----------------------+----------------------+--------------------
     50 |     41213 |     (  55.4/  579.9) |     (  21.5/   27.2) |     (  33.9/  552.7) |  (  81.0/   887.0)
    100 |     82493 |     (  55.2/  585.1) |     (  21.4/   26.3) |     (  33.8/  558.8) |  (  81.0/   988.0)
    150 |    123414 |     (  54.6/  556.3) |     (  21.4/   27.9) |     (  33.2/  528.4) |  ( 106.0/  1090.0)
    200 |    163887 |     (  54.9/  586.0) |     (  21.5/   27.0) |     (  33.3/  559.0) |  ( 106.0/  1090.0)
    250 |    202802 |     (  53.0/  546.9) |     (  20.7/   26.1) |     (  32.3/  520.8) |  ( 106.0/  1090.0)
    300 |    242457 |     (  54.3/  578.4) |     (  20.9/   26.7) |     (  33.5/  551.7) |  ( 106.0/  1090.0)
    350 |    282587 |     (  54.8/  584.8) |     (  21.1/   26.6) |     (  33.7/  558.2) |  ( 106.0/  1090.0)
    400 |    321956 |     (  52.6/  548.4) |     (  20.8/   26.5) |     (  31.8/  521.9) |  ( 106.0/  1090.0)
    450 |    360347 |     (  53.9/  591.0) |     (  20.4/   25.9) |     (  33.5/  565.1) |  ( 106.0/  1099.0)
    500 |    398721 |     (  52.6/  561.7) |     (  20.2/   24.8) |     (  32.4/  536.9) |  ( 106.0/  1099.0)
Saved model at episode 500...
    550 |    438778 |     (  54.4/  573.1) |     (  20.8/   25.2) |     (  33.6/  547.9) |  ( 106.0/  1125.0)
    600 |    477916 |     (  53.4/  576.9) |     (  20.5/   25.0) |     (  32.9/  551.9) |  ( 106.0/  1125.0)
    650 |    518698 |     (  55.0/  589.9) |     (  21.5/   26.6) |     (  33.5/  563.3) |  ( 106.0/  1125.0)
    700 |    557896 |     (  53.4/  560.0) |     (  20.8/   25.1) |     (  32.5/  534.9) |  ( 106.0/  1125.0)
    750 |    596538 |     (  52.3/  554.0) |     (  19.8/   23.6) |     (  32.5/  530.4) |  ( 106.0/  1125.0)
    800 |    635034 |     (  52.7/  559.6) |     (  19.7/   24.8) |     (  33.0/  534.8) |  ( 106.0/  1125.0)
    850 |    675840 |     (  55.2/  590.0) |     (  21.7/   27.4) |     (  33.5/  562.6) |  ( 106.0/  1125.0)
    900 |    714175 |     (  51.4/  528.6) |     (  20.2/   24.5) |     (  31.2/  504.1) |  ( 106.0/  1125.0)
    950 |    755777 |     (  56.6/  618.9) |     (  22.1/   27.8) |     (  34.5/  591.1) |  ( 106.0/  1125.0)
   1000 |    796566 |     (  54.9/  583.5) |     (  21.5/   27.4) |     (  33.3/  556.1) |  ( 106.0/  1125.0)
Saved model at episode 1000...
   1050 |    837010 |     (  55.8/  596.9) |     (  21.5/   26.6) |     (  34.3/  570.3) |  ( 106.0/  1125.0)
   1100 |    879966 |     (  58.7/  647.8) |     (  22.6/   29.1) |     (  36.1/  618.7) |  ( 106.0/  1228.0)
   1150 |    919107 |     (  53.6/  548.2) |     (  20.6/   25.4) |     (  33.0/  522.8) |  ( 106.0/  1228.0)
   1200 |    962817 |     (  57.9/  607.6) |     (  23.1/   29.5) |     (  34.7/  578.1) |  ( 106.0/  1228.0)
   1250 |   1004517 |     (  57.1/  600.1) |     (  22.3/   27.6) |     (  34.8/  572.5) |  ( 106.0/  1228.0)
   1300 |   1047340 |     (  57.1/  591.8) |     (  23.0/   28.2) |     (  34.0/  563.6) |  ( 106.0/  1228.0)
   1350 |   1087810 |     (  57.5/  602.2) |     (  21.7/   26.6) |     (  35.7/  575.6) |  ( 106.0/  1266.0)
   1400 |   1127672 |     (  55.0/  575.7) |     (  21.2/   26.2) |     (  33.8/  549.5) |  ( 106.0/  1266.0)
   1450 |   1170588 |     (  58.2/  594.7) |     (  23.2/   28.1) |     (  35.0/  566.6) |  ( 106.0/  1266.0)
   1500 |   1212187 |     (  56.6/  587.5) |     (  22.2/   28.4) |     (  34.4/  559.1) |  ( 106.0/  1266.0)
Saved model at episode 1500...
   1550 |   1252571 |     (  56.2/  587.7) |     (  21.8/   27.1) |     (  34.4/  560.6) |  ( 106.0/  1266.0)
   1600 |   1293870 |     (  55.9/  571.6) |     (  22.3/   28.3) |     (  33.7/  543.3) |  ( 106.0/  1266.0)
   1650 |   1337366 |     (  58.5/  641.7) |     (  23.0/   30.1) |     (  35.5/  611.6) |  ( 106.0/  1266.0)
   1700 |   1381905 |     (  60.3/  657.2) |     (  23.7/   31.7) |     (  36.6/  625.5) |  ( 106.0/  1266.0)
   1750 |   1425874 |     (  60.2/  637.2) |     (  24.5/   31.3) |     (  35.7/  605.9) |  ( 106.0/  1266.0)
   1800 |   1468929 |     (  58.0/  620.2) |     (  22.9/   30.1) |     (  35.1/  590.1) |  ( 106.0/  1266.0)
   1850 |   1512044 |     (  58.4/  629.0) |     (  22.8/   29.0) |     (  35.6/  600.0) |  ( 106.0/  1266.0)
   1900 |   1553663 |     (  57.9/  596.3) |     (  22.6/   27.9) |     (  35.3/  568.4) |  ( 106.0/  1266.0)
   1950 |   1596908 |     (  58.7/  616.0) |     (  23.4/   30.9) |     (  35.3/  585.1) |  ( 106.0/  1266.0)
   2000 |   1640483 |     (  58.9/  624.6) |     (  23.0/   29.0) |     (  36.0/  595.6) |  ( 106.0/  1266.0)
Saved model at episode 2000...
   2050 |   1684322 |     (  60.3/  624.4) |     (  24.2/   30.8) |     (  36.1/  593.6) |  ( 106.0/  1266.0)
   2100 |   1726890 |     (  58.4/  618.9) |     (  23.4/   30.1) |     (  35.0/  588.8) |  ( 106.0/  1266.0)
   2150 |   1769592 |     (  58.9/  633.0) |     (  23.2/   31.0) |     (  35.6/  602.0) |  ( 106.0/  1266.0)
   2200 |   1811811 |     (  59.3/  628.5) |     (  22.5/   29.1) |     (  36.8/  599.4) |  ( 106.0/  1266.0)
   2250 |   1858275 |     (  63.7/  664.5) |     (  25.8/   35.2) |     (  38.0/  629.3) |  ( 106.0/  1266.0)
   2300 |   1901795 |     (  60.2/  658.8) |     (  23.8/   29.5) |     (  36.5/  629.3) |  ( 106.0/  1309.0)
   2350 |   1947211 |     (  62.0/  658.3) |     (  24.0/   31.6) |     (  38.0/  626.7) |  ( 108.0/  1367.0)
   2400 |   1990324 |     (  60.0/  637.2) |     (  23.6/   31.2) |     (  36.4/  606.0) |  ( 108.0/  1367.0)
   2450 |   2035040 |     (  62.1/  650.4) |     (  25.4/   33.6) |     (  36.7/  616.8) |  ( 108.0/  1367.0)
   2500 |   2077036 |     (  58.1/  605.7) |     (  23.0/   30.5) |     (  35.1/  575.2) |  ( 108.0/  1367.0)
Saved model at episode 2500...
   2550 |   2119930 |     (  60.1/  626.9) |     (  23.4/   30.5) |     (  36.7/  596.4) |  ( 108.0/  1367.0)
   2600 |   2163912 |     (  60.0/  612.8) |     (  23.5/   30.5) |     (  36.6/  582.3) |  ( 108.0/  1367.0)
   2650 |   2206503 |     (  61.0/  648.7) |     (  23.2/   30.1) |     (  37.9/  618.6) |  ( 108.0/  1367.0)
   2700 |   2250873 |     (  62.1/  632.0) |     (  24.6/   32.9) |     (  37.5/  599.1) |  ( 108.0/  1367.0)
   2750 |   2294664 |     (  59.9/  611.3) |     (  24.3/   32.0) |     (  35.6/  579.3) |  ( 108.0/  1367.0)
   2800 |   2339337 |     (  62.1/  648.8) |     (  24.6/   31.2) |     (  37.6/  617.6) |  ( 108.0/  1367.0)
   2850 |   2383544 |     (  62.0/  639.5) |     (  24.6/   31.3) |     (  37.4/  608.2) |  ( 108.0/  1367.0)
   2900 |   2427503 |     (  61.1/  637.9) |     (  23.9/   32.3) |     (  37.1/  605.6) |  ( 108.0/  1367.0)
   2950 |   2472491 |     (  63.4/  674.2) |     (  25.1/   32.7) |     (  38.2/  641.5) |  ( 108.0/  1422.0)
   3000 |   2514445 |     (  59.6/  632.2) |     (  23.5/   30.5) |     (  36.1/  601.7) |  ( 108.0/  1422.0)
Saved model at episode 3000...
   3050 |   2558966 |     (  61.4/  665.9) |     (  25.0/   32.4) |     (  36.4/  633.5) |  ( 108.0/  1422.0)
   3100 |   2603650 |     (  62.2/  648.6) |     (  25.1/   32.1) |     (  37.1/  616.5) |  ( 108.0/  1422.0)
   3150 |   2648475 |     (  63.3/  669.0) |     (  25.3/   33.1) |     (  38.0/  635.9) |  ( 108.0/  1422.0)
   3200 |   2694112 |     (  63.8/  694.8) |     (  25.2/   33.0) |     (  38.6/  661.8) |  ( 109.0/  1422.0)
   3250 |   2738146 |     (  61.4/  646.7) |     (  25.0/   32.3) |     (  36.4/  614.4) |  ( 109.0/  1422.0)
   3300 |   2781186 |     (  61.8/  665.4) |     (  23.3/   29.6) |     (  38.5/  635.8) |  ( 109.0/  1422.0)
   3350 |   2823312 |     (  59.1/  639.2) |     (  23.1/   28.6) |     (  36.0/  610.6) |  ( 109.0/  1422.0)
   3400 |   2865996 |     (  60.2/  651.0) |     (  23.1/   30.0) |     (  37.1/  621.0) |  ( 109.0/  1422.0)
   3450 |   2909662 |     (  60.8/  652.2) |     (  23.9/   33.1) |     (  36.9/  619.1) |  ( 109.0/  1422.0)
   3500 |   2953611 |     (  62.4/  657.0) |     (  24.3/   31.7) |     (  38.1/  625.3) |  ( 109.0/  1422.0)
Saved model at episode 3500...
   3550 |   2997578 |     (  61.8/  661.1) |     (  24.3/   30.5) |     (  37.4/  630.6) |  ( 111.0/  1422.0)
   3600 |   3042918 |     (  62.8/  655.3) |     (  24.9/   33.4) |     (  37.9/  621.9) |  ( 111.0/  1422.0)
   3650 |   3087434 |     (  62.2/  660.4) |     (  24.6/   31.8) |     (  37.6/  628.6) |  ( 111.0/  1422.0)
   3700 |   3134477 |     (  66.4/  691.9) |     (  26.7/   35.9) |     (  39.8/  656.0) |  ( 111.0/  1422.0)
   3750 |   3179201 |     (  63.1/  662.9) |     (  25.0/   34.1) |     (  38.1/  628.8) |  ( 111.0/  1422.0)
   3800 |   3223953 |     (  63.7/  645.8) |     (  25.3/   32.8) |     (  38.4/  613.0) |  ( 111.0/  1422.0)
